Page total likes;Type;Category;Post Month;Post Weekday;Post Hour;Paid;Post Total Reach;Post Total Impressions;Comments;Likes;Shares
93363;Photo;Action;2;5;6;0;5786;10634;4;49;15
93256;Photo;Inspiration;2;4;12;0;5878;10508;3;98;27
93149;Photo;Inspiration;2;4;3;0;9528;16535;14;198;70
93042;Photo;Inspiration;2;3;13;0;8500;14157;5;159;53
92935;Photo;Action;2;3;9;1;3796;6737;1;22;6
92828;Photo;Action;2;3;6;0;28128;42940;6;154;18
92721;Photo;Inspiration;2;2;13;0;7228;12627;5;128;32
92614;Photo;Product;2;2;3;1;5290;9100;2;129;32
92507;Photo;Inspiration;2;1;13;0;55520;665792;146;1546;181
92400;Photo;Action;2;1;4;0;5880;10115;5;79;11
92293;Photo;Inspiration;2;7;13;1;10040;17029;19;214;78
92186;Photo;Inspiration;2;7;2;1;153536;497910;8;134;34
92079;Photo;Action;2;6;13;0;158208;453213;9;268;36
91972;Photo;Inspiration;2;6;3;0;6484;10832;4;128;38
91865;Photo;Product;2;5;13;1;4840;7466;3;47;21
91758;Photo;Product;2;5;3;1;15880;51571;1;200;37
91651;Photo;Action;2;4;12;0;15288;31467;5;264;36
91544;Photo;Inspiration;2;4;3;0;9528;16779;10;193;61
91437;Link;Action;2;3;13;0;9356;14986;4;114;13
91330;Photo;Inspiration;2;3;3;0;7732;13264;7;160;57
91223;Photo;Action;2;2;13;0;5240;8893;0;46;15
91116;Photo;Inspiration;2;2;4;1;7132;12060;4;136;42
91009;Photo;Action;2;1;12;0;21928;39641;0;73;13
86909;Photo;Inspiration;1;6;16;1;5754;9238;0;65;19
86909;Photo;Action;1;6;10;1;37088;10966;7;579;47
86909;Link;Action;1;6;4;0;39600;7927;1;101;5
86909;Photo;Inspiration;1;5;13;0;5536;8745;1;74;31
86909;Photo;Inspiration;1;5;4;0;6056;10325;7;84;36
86909;Photo;Product;1;4;11;0;11484;20696;56;360;99
86491;Link;Action;1;4;4;1;4938;7910;0;5;2
86491;Photo;Inspiration;1;3;10;0;66784;9456;3;187;36
86491;Photo;Product;1;3;3;0;5526;8779;2;69;26
86491;Photo;Inspiration;1;2;7;0;5040;8367;2;82;24
86491;Link;Action;1;2;2;0;5168;8371;0;12;2
85979;Photo;Inspiration;1;1;12;0;5034;8030;2;56;25
85979;Photo;Inspiration;1;1;2;0;4908;7491;1;44;21
85979;Photo;Inspiration;1;7;10;0;9700;17442;21;277;80
85979;Photo;Inspiration;1;7;2;0;4800;7754;1;74;28
85979;Photo;Inspiration;1;6;11;0;5280;8703;1;79;30
85979;Photo;Inspiration;1;6;3;1;6184;10228;1;105;46
85979;Link;Action;1;5;11;0;45920;5808;0;128;9
85093;Photo;Inspiration;1;1;2;0;8412;13960;17;185;55
85093;Photo;Inspiration;1;7;10;0;5400;9218;10;125;41
85093;Photo;Inspiration;1;7;2;0;4684;7536;5;53;26
81370;Photo;Product;1;5;8;0;3480;6229;0;53;22
81370;Photo;Action;1;5;2;0;3778;7216;4;93;18
81370;Photo;Inspiration;1;4;11;0;4156;7564;7;91;38
81370;Photo;Product;1;4;4;;4188;7292;0;91;28
